Date,Open,High,Low,Close,Adj Close,P/L
30-Mar-16,"2,058.27","2,072.21","2,058.27","2,063.95","2,063.95",0.435%
29-Mar-16,"2,035.75","2,055.91","2,028.31","2,055.01","2,055.01",0.882%
28-Mar-16,"2,037.89","2,042.67","2,031.96","2,037.05","2,037.05",0.055%
24-Mar-16,"2,032.48","2,036.04","2,022.49","2,035.94","2,035.94",-0.038%
23-Mar-16,"2,048.55","2,048.55","2,034.86","2,036.71","2,036.71",-0.639%
22-Mar-16,"2,048.64","2,056.60","2,040.57","2,049.80","2,049.80",-0.088%
21-Mar-16,"2,047.88","2,053.91","2,043.14","2,051.60","2,051.60",0.099%
18-Mar-16,"2,041.16","2,052.36","2,041.16","2,049.58","2,049.58",0.441%
17-Mar-16,"2,026.90","2,046.24","2,022.16","2,040.59","2,040.59",0.660%
16-Mar-16,"2,014.24","2,032.02","2,010.04","2,027.22","2,027.22",0.560%
15-Mar-16,"2,015.27","2,015.94","2,005.23","2,015.93","2,015.93",-0.184%
14-Mar-16,"2,019.27","2,024.57","2,012.05","2,019.64","2,019.64",-0.126%
11-Mar-16,"1,994.71","2,022.37","1,994.71","2,022.19","2,022.19",1.640%
10-Mar-16,"1,990.97","2,005.08","1,969.25","1,989.57","1,989.57",0.016%
9-Mar-16,"1,981.44","1,992.69","1,979.84","1,989.26","1,989.26",0.505%
8-Mar-16,"1,996.88","1,996.88","1,977.43","1,979.26","1,979.26",-1.124%
7-Mar-16,"1,996.11","2,006.12","1,989.38","2,001.76","2,001.76",0.089%
4-Mar-16,"1,994.01","2,009.13","1,986.77","1,999.99","1,999.99",0.331%
3-Mar-16,"1,985.60","1,993.69","1,977.37","1,993.40","1,993.40",0.350%
2-Mar-16,"1,976.60","1,986.51","1,968.80","1,986.45","1,986.45",0.409%
1-Mar-16,"1,937.09","1,978.35","1,937.09","1,978.35","1,978.35",2.387%
29-Feb-16,"1,947.13","1,958.27","1,931.81","1,932.23","1,932.23",-0.812%
26-Feb-16,"1,954.95","1,962.96","1,945.78","1,948.05","1,948.05",-0.187%
25-Feb-16,"1,931.87","1,951.83","1,925.41","1,951.70","1,951.70",1.135%
24-Feb-16,"1,917.56","1,932.08","1,891.00","1,929.80","1,929.80",0.444%
23-Feb-16,"1,942.38","1,942.38","1,919.44","1,921.27","1,921.27",-1.245%
22-Feb-16,"1,924.44","1,946.70","1,924.44","1,945.50","1,945.50",1.445%
19-Feb-16,"1,916.74","1,918.78","1,902.17","1,917.78","1,917.78",-0.003%
18-Feb-16,"1,927.57","1,930.00","1,915.09","1,917.83","1,917.83",-0.467%
17-Feb-16,"1,898.80","1,930.68","1,898.80","1,926.82","1,926.82",1.648%
16-Feb-16,"1,871.44","1,895.77","1,871.44","1,895.58","1,895.58",1.652%
12-Feb-16,"1,833.40","1,864.78","1,833.40","1,864.78","1,864.78",1.952%
11-Feb-16,"1,847.00","1,847.00","1,810.10","1,829.08","1,829.08",-1.230%
10-Feb-16,"1,857.10","1,881.60","1,850.32","1,851.86","1,851.86",-0.019%
9-Feb-16,"1,848.46","1,868.25","1,834.94","1,852.21","1,852.21",-0.066%
8-Feb-16,"1,873.25","1,873.25","1,828.46","1,853.44","1,853.44",-1.415%
